"hasTarget","CAS.nummer","EC.Nummer","Stofnaam_IUPAC","CLP_Aanwezig","SVHC_Aanwezig","Restrict_Aanwezig","POP_Aanwezig","OSPAR_Aanwezig","WFD_Aanwezig","Gewas_Aanwezig","Biociden_Aanwezig"
"","10103-61-4","233-286-2","Arsenic acid, copper salt",0,0,1,0,0,0,0,0
"","101316-45-4","309-851-5","Absorption oils, bicyclo arom. and heterocyclic hydrocarbon fraction|Wash Oil Redistillate|[A complex combination of hydrocarbons obtained as a redistillate from the distillation of wash oil. It consists predominantly of 2-ringed aromatic and heterocyclic",1,0,0,0,0,0,0,0
"","101316-49-8","309-855-7","Distillates (coal tar), pitch|Heavy Anthracene Oil|[The oil obtained from condensation of the vapors from the heat treatment of pitch. Composed primarily of two- to four-ring aromatic compounds boiling in the range of 200 °C to greater than 400 °C (392 °F",1,0,0,0,0,0,0,0
"","101316-50-1","","distillates (petroleum), alkene-alkyne manuf. pyrolysis oil, condensed arom.",0,0,0,0,1,0,0,0
"","101316-56-7","309-862-5","Distillates (petroleum), C<sub>7-9</sub>, C<sub>8</sub>-rich, hydrodesulfurized dearomatized|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained by the distillation of petroleum light fraction, hydrodesulfurized and dea",1,0,0,0,0,0,0,0
"","101316-57-8","309-863-0","Distillates (petroleum), hydrodesulfurized full-range middle|Heavy Fuel oil|[A complex combination of hydrocarbons obtained by treating a petroleum stock with hydrogen. It consists predominantly of hydrocarbons having carbon numbers predominantly in the r",1,0,0,0,0,0,0,0
"","101316-59-0","309-865-1","Distillates (petroleum), hydrodesulfurized middle coker|Cracked gasoil|[A complex combination of hydrocarbons by fractionation from hydrodesulfurised coker distillate stocks. Is consists of hydro-carbons having carbon numbers predominantly in the range of",1,0,0,0,0,0,0,0
"","101316-62-5","309-867-2","Extract residues (coal), light oil alk., acid ext., indene fraction|Light Oil Extract Residues, intermediate boiling",1,0,0,0,0,0,0,0
"","101316-63-6","309-868-8","Extract residues (coal tar), benzole fraction alk., acid ext.|Light Oil Extract Residues, low boiling|[A complex combination of hydrocarbons obtained by the redistillation of the distillate of high temperature coal tar (tar acid and tar base free).  It co",1,0,0,0,0,0,0,0
"","101316-66-9","309-870-9","Hydrocarbons, C<sub>6-8</sub>, hydrogenated sorption-dearomatized, toluene raffination|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained during the sorptions of toluene from a hydrocarbon fraction from cracked gasolin",1,0,0,0,0,0,0,0
"","101316-67-0","309-871-4","Hydrocarbons, C<sub>6</sub>-rich, hydrotreated light naphtha distillates, solvent-refined|Low boiling point modified naphtha|[A complex combination of hydrocarbons obtained by distillation of hydrotreated naphtha followed by solvent extraction.  It consis",1,0,0,0,0,0,0,0
"","101316-69-2","309-874-0","Lubricating oils (petroleum), C <sub>>25</sub>, solvent-extd., deasphalted, dewaxed, hydrogenated|Baseoil - unspecified|[A complex combination of hydrocarbons obtained by solvent extraction and hydrogenation of vacuum distillation residues. It consists pr",1,0,0,0,0,0,0,0
"","101316-70-5","309-875-6","Lubricating oils (petroleum), C<sub>17-32</sub>, solvent-extd., dewaxed, hydrogenated|Baseoil - unspecified|[A complex combination of hydrocarbons obtained by solvent extraction and hydrogenation of atmospheric distillation residues. It consists predomina",1,0,0,0,0,0,0,0
"","101316-71-6","309-876-1","Lubricating oils (petroleum), C<sub>20-35</sub>, solvent-extd., dewaxed, hydrogenated|Baseoil - unspecified|[A complex combination of hydrocarbons obtained by solvent extraction and hydrogenation of atmospheric distillation residues. It consists predomina",1,0,0,0,0,0,0,0
"","101316-72-7","309-877-7","Lubricating oils (petroleum), C<sub>24-50</sub>, solvent-extd., dewaxed, hydrogenated|Baseoil - unspecified|[A complex combination of hydrocarbons obtained by solvent extraction and hydrogenation of atmospheric distillation residues. It consists predomina",1,0,0,0,0,0,0,0
"","101316-76-1","309-879-8","Naphtha (petroleum), hydrodesulfurised full-range coker|Low boiling point naphtha - unspecified|[A complex combination of hydrocarbons obtained by fractionation from hydrodesulfurised coker distillate.  It consists predominantly of hydrocarbons having car",1,0,0,0,0,0,0,0
"","101316-83-0","309-885-0","Tar brown-coal|[An oil distilled from brown-coal tar. Composed primarily of aliphatic, naphthenic and one- to three-ring aromatic hydrocarbons, their alkyl derivates, heteroaromatics and one- and two-ring phenols boiling in the range of approximately 150 ",1,0,0,0,0,0,0,0
"","101316-84-1","309-886-6","Tar, brown-coal, low-temp.|[A tar obtained from low temperature carbonization and low temperature gasification of brown coal. Composed primarily of aliphatic, naphthenic and cyclic aromatic hydrocarbons, heteroaromatic hydrocarbons and cyclic phenols.]",1,0,0,0,0,0,0,0
"","101316-85-2","309-887-1","Tar, coal, low-temp., distn. residues|Tar Oil, intermediate boiling|[Residues from fractional distillation of low temperature coal tar to remove oils that boil in a range up to approximately 300 °C (572 °F). Composed primarily of aromatic compounds.]",1,0,0,0,0,0,0,0
"","101316-86-3","309-888-7","Tar acids, brown-coal, crude|Crude Phenols|[An acidified alkaline extract of brown coal tar distillate.  Composed primarily of phenol and phenol homologs.]",1,0,0,0,0,0,0,0
"","101316-87-4","309-889-2","Tar oils, coal, low-temp.|Tar Oil, high boiling|[A distillate from low-temperature coal tar.  Composed primarily of hydrocarbons, phenolic compounds and aromatic nitrogen bases boiling in the range of approximately 160°C to 340°C (320°F to 644°F).]",1,0,0,0,0,0,0,0
"","101356-99-4","309-896-0","Cadmium oxide (CdO), solid soln. with calcium oxide and titanium oxide (TiO2), praseodymium-doped",0,0,1,0,0,1,0,0
"","101357-00-0","309-897-6","Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, aluminum and copper-doped",0,0,1,0,0,1,0,0
"","101357-01-1","309-898-1","Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, copper and manganese-doped",0,0,1,0,0,1,0,0
"","101357-02-2","309-899-7","Cadmium selenide (CdSe), solid soln. with cadmium sulfide, zinc selenide and zinc sulfide, europium-doped",0,0,1,0,0,1,0,0
